signal_id,target_id,asof_date,hiring_change_30d,news_event_score,capital_event_flag,partnership_signal_score,exec_departure_flag,customer_concentration_pct,banker_hired_flag,litigation_flag,notes,evidence_ids
2cf6ae9f-2906-4ab2-ab86-945afadd796c,ff5f31fc-4a57-4763-a510-8b3033760602,2024-08-30,-4,2.75,False,2.03,True,29.89,False,True,Synthetic signals.,333c3ca0-5c0a-4aef-b8c3-49f735f20ab2
20ffe708-eee7-4de5-9251-94b09d125fae,72b16bd0-f24a-49d5-951a-d8e6531ed619,2024-08-30,-5,4.88,True,3.1,True,17.28,False,False,Synthetic signals.,8f0c30e3-3cd0-4595-be7e-3b047a70f35e
272d229d-a16b-45fa-bdaa-ea2efe954104,29caecd0-2568-4c92-8b0f-319e7d8af660,2024-08-30,-4,2.52,True,4.53,True,27.0,True,True,Synthetic signals.,ba1a2a69-4336-4bd5-8261-76e342f09703
c4a41218-1c94-446c-9148-021660af8323,f80667d6-ec4b-432b-b695-daa27f9abca5,2024-08-30,9,4.84,False,1.69,True,47.48,False,False,Synthetic signals.,222d9541-0204-42e7-8e9a-c951591cc295
489dd1a0-9a1d-4350-ad0a-5714a97aea7f,e3877615-974f-4b1a-807c-bf03b67f11e9,2024-08-30,0,3.85,True,5.26,False,41.82,True,True,Synthetic signals.,b2f95c40-4ee7-4e81-8cff-1ab77c017760
d4169e26-6e3a-40ef-b905-a8fd82b3185f,194db580-b59e-4ca5-a55b-48b47ea489ae,2024-08-30,6,1.64,True,2.81,True,26.89,False,True,Synthetic signals.,57dbd780-c836-46d0-af4b-dc104c1898b4
804ab8fb-726e-4b2c-a651-83e5cf8756f5,3994ea3e-a22a-4456-85d0-7767805bb77b,2024-08-30,7,4.71,True,6.8,True,59.66,True,True,Synthetic signals.,16c027a4-a406-42c7-a530-d684785d6860
18e3ae64-447a-4fed-801f-2cc0de02cc3e,2666fdb9-5dad-446f-a122-f7458b47982b,2024-08-30,-1,4.47,True,7.61,True,11.4,True,False,Synthetic signals.,b621f8c9-bace-4fe1-b826-3b47b597f9ed
afe11bb0-95dc-492d-bb07-43151085bc79,b053abf4-2c12-4f37-89ab-f79b847f42d7,2024-08-30,-1,5.19,True,7.98,True,40.43,True,True,Synthetic signals.,38b91465-809f-49da-887e-3a3f0d713585
5343583d-9ed0-4388-b8be-8d42fcaaace9,3a58872d-3e81-4ea6-ba62-2e0134d18b77,2024-08-30,-5,7.08,True,4.55,True,44.64,False,False,Synthetic signals.,fcc6338d-a802-415e-966b-93aee368bb52
d44a8f34-c4ee-4a7e-b312-fe31ff9ec660,b1f907ef-9dac-4c01-9cdf-9f4db73d8c32,2024-08-30,1,6.36,True,8.18,True,56.98,False,True,Synthetic signals.,3646c782-7028-451d-87aa-bc89854eb626
0de8f34d-dce1-450f-a693-96c49654bd9c,00d47bb6-c108-4625-96b7-b6a2853ca952,2024-08-30,-3,6.78,True,3.7,False,32.02,True,False,Synthetic signals.,3410b701-556a-464f-9fb3-cbbb43699537
8023b6b6-414d-4a50-a5cb-4dfe1df50fbd,6163b998-a988-468d-bca5-4c38d4612c85,2024-08-30,3,4.25,False,6.6,True,23.95,True,False,Synthetic signals.,1dc6fba8-0189-4f07-b714-a490a4bbf27d
